"ID_COMMUNE","CODE_COMMUNE","NOM","CODE_POSTAL","PAYS"
340,"1374","Saint-Martin-du-Mont","1160",1
341,"1375","Saint-Martin-le-Châtel","1310",1
342,"1376","Saint-Maurice-de-Beynost","1700",1
343,"1378","Saint-Maurice-de-Gourdans","1800",1
344,"1379","Saint-Maurice-de-Rémens","1500",1
345,"1380","Saint-Nizier-le-Bouchoux","1560",1
346,"1381","Saint-Nizier-le-Désert","1320",1
347,"1382","Sainte-Olive","1330",1
348,"1383","Saint-Paul-de-Varax","1240",1
349,"1384","Saint-Rambert-en-Bugey","1230",1
350,"1385","Saint-Rémy","1310",1
351,"1386","Saint-Sorlin-en-Bugey","1150",1
352,"1387","Saint-Sulpice","1340",1
353,"1388","Saint-Trivier-de-Courtes","1560",1
354,"1389","Saint-Trivier-sur-Moignans","1990",1
355,"1390","Saint-Vulbas","1150",1
356,"1391","Salavre","1270",1
357,"1392","Samognat","1580",1
358,"1393","Sandrans","1400",1
359,"1396","Sault-Brénaz","1150",1
360,"1397","Sauverny","1220",1
361,"1398","Savigneux","1480",1
362,"1399","Ségny","1170",1
363,"1400","Seillonnaz","1470",1
364,"1401","Sergy","1630",1
365,"1402","Sermoyer","1190",1
366,"1403","Serrières-de-Briord","1470",1
367,"1404","Serrières-sur-Ain","1450",1
368,"1405","Servas","1960",1
369,"1406","Servignat","1560",1
370,"1407","Seyssel","1420",1
371,"1408","Simandre-sur-Suran","1250",1
372,"1410","Sonthonnax-la-Montagne","1580",1
373,"1411","Souclin","1150",1
374,"1412","Sulignat","1400",1
375,"1413","Surjoux","1420",1
376,"1414","Sutrieu","1260",1
377,"1415","Talissieu","1510",1
378,"1416","Tenay","1230",1
379,"1417","Thézillieu","1110",1
380,"1418","Thil","1120",1
381,"1419","Thoiry","1710",1
382,"1420","Thoissey","1140",1
383,"1421","Torcieu","1230",1
384,"1422","Tossiat","1250",1
385,"1423","Toussieux","1600",1
386,"1424","Tramoyes","1390",1
387,"1425","La Tranclière","1160",1
388,"1426","Val-Revermont","1370",1
389,"1427","Trévoux","1600",1
390,"1428","Valeins","1140",1
391,"1429","Vandeins","1660",1
392,"1430","Varambon","1160",1
393,"1431","Vaux-en-Bugey","1150",1
394,"1432","Verjon","1270",1
395,"1433","Vernoux","1560",1
396,"1434","Versailleux","1330",1
397,"1435","Versonnex","1210",1
398,"1436","Vesancy","1170",1
399,"1437","Vescours","1560",1
400,"1439","Vésines","1570",1
401,"1441","Vieu-d'Izenave","1430",1
402,"1442","Vieu","1260",1
403,"1443","Villars-les-Dombes","1330",1
404,"1444","Villebois","1150",1
405,"1445","Villemotier","1270",1
406,"1446","Villeneuve","1480",1
407,"1447","Villereversure","1250",1
408,"1448","Villes","1200",1
409,"1449","Villette-sur-Ain","1320",1
410,"1450","Villieu-Loyes-Mollon","1800",1
411,"1451","Viriat","1440",1
412,"1452","Virieu-le-Grand","1510",1
413,"1453","Virieu-le-Petit","1260",1
414,"1454","Virignin","1300",1
415,"1456","Vongnes","1350",1
416,"1457","Vonnas","1540",1
417,"2001","Abbécourt","2300",1
418,"2002","Achery","2800",1
419,"2003","Acy","2200",1
420,"2004","Agnicourt-et-Séchelles","2340",1
421,"2005","Aguilcourt","2190",1
422,"2006","Aisonville-et-Bernoville","2110",1
423,"2007","Aizelles","2820",1
424,"2008","Aizy-Jouy","2370",1
425,"2009","Alaincourt","2240",1
426,"2010","Allemant","2320",1
427,"2011","Ambleny","2290",1
428,"2012","Ambrief","2200",1
429,"2013","Amifontaine","2190",1
430,"2014","Amigny-Rouy","2700",1
431,"2015","Ancienville","2600",1
432,"2016","Andelain","2800",1
433,"2017","Anguilcourt-le-Sart","2800",1
434,"2018","Anizy-le-Château","2320",1
435,"2019","Annois","2480",1
436,"2020","Any-Martin-Rieux","2500",1
437,"2021","Archon","2360",1
438,"2022","Arcy-Sainte-Restitue","2130",1
439,"2023","Armentières-sur-Ourcq","2210",1
440,"2024","Arrancy","2860",1
441,"2025","Artemps","2480",1
442,"2027","Assis-sur-Serre","2270",1
443,"2028","Athies-sous-Laon","2840",1
444,"2029","Attilly","2490",1
445,"2030","Aubencheul-aux-Bois","2420",1
446,"2031","Aubenton","2500",1
447,"2032","Aubigny-aux-Kaisnes","2590",1
448,"2033","Aubigny-en-Laonnois","2820",1
449,"2034","Audignicourt","2300",1
450,"2035","Audigny","2120",1
451,"2036","Augy","2220",1
452,"2037","Aulnois-sous-Laon","2000",1
453,"2038","Les Autels","2360",1
454,"2039","Autremencourt","2250",1
455,"2040","Autreppes","2580",1
456,"2041","Autreville","2300",1
457,"2042","Azy-sur-Marne","2400",1
458,"2043","Bagneux","2290",1
459,"2044","Bancigny","2140",1
460,"2046","Barenton-Bugny","2000",1
461,"2047","Barenton-Cel","2000",1
462,"2048","Barenton-sur-Serre","2270",1
463,"2049","Barisis-aux-Bois","2700",1
464,"2050","Barzy-en-Thiérache","2170",1
465,"2051","Barzy-sur-Marne","2850",1
466,"2052","Bassoles-Aulers","2380",1
467,"2053","Vallées en Champagne","2330",1
468,"2054","Bazoches-sur-Vesles","2220",1
469,"2055","Beaumé","2500",1
470,"2056","Beaumont-en-Beine","2300",1
471,"2057","Beaurevoir","2110",1
472,"2058","Beaurieux","2160",1
473,"2059","Beautor","2800",1
474,"2060","Beauvois-en-Vermandois","2590",1
475,"2061","Becquigny","2110",1
476,"2062","Belleau","2400",1
477,"2063","Bellenglise","2420",1
478,"2064","Belleu","2200",1
479,"2065","Bellicourt","2420",1
480,"2066","Benay","2440",1
481,"2067","Bergues-sur-Sambre","2450",1
482,"2068","Berlancourt","2250",1
483,"2069","Berlise","2340",1
484,"2070","Bernot","2120",1
485,"2071","Berny-Rivière","2290",1
486,"2072","Berrieux","2820",1
487,"2073","Berry-au-Bac","2190",1
488,"2074","Bertaucourt-Epourdon","2800",1
489,"2075","Berthenicourt","2240",1
490,"2076","Bertricourt","2190",1
491,"2077","Berzy-le-Sec","2200",1
492,"2078","Besmé","2300",1
493,"2079","Besmont","2500",1
494,"2080","Besny-et-Loizy","2870",1
495,"2081","Béthancourt-en-Vaux","2300",1
496,"2082","Beugneux","2210",1
497,"2083","Beuvardes","2130",1
498,"2084","Bézu-le-Guéry","2310",1
499,"2085","Bézu-Saint-Germain","2400",1
500,"2086","Bichancourt","2300",1
501,"2087","Bieuxy","2290",1
502,"2088","Bièvres","2860",1
503,"2089","Billy-sur-Aisne","2200",1
504,"2090","Billy-sur-Ourcq","2210",1
505,"2091","Blanzy-lès-Fismes","2160",1
506,"2093","Blérancourt","2300",1
507,"2094","Blesmes","2400",1
508,"2095","Bohain-en-Vermandois","2110",1
509,"2096","Bois-lès-Pargny","2270",1
510,"2097","Boncourt","2350",1
511,"2098","Bonneil","2400",1
512,"2099","Bonnesvalyn","2400",1
513,"2100","Bony","2420",1
514,"2101","Bosmont-sur-Serre","2250",1
515,"2102","Bouconville-Vauclair","2860",1
516,"2103","Boué","2450",1
517,"2104","Bouffignereux","2160",1
518,"2105","Bouresches","2400",1
519,"2106","Bourg-et-Comin","2160",1
520,"2107","Bourguignon-sous-Coucy","2300",1
521,"2108","Bourguignon-sous-Montbavin","2000",1
522,"2109","La Bouteille","2140",1
523,"2110","Braine","2220",1
524,"2111","Brancourt-en-Laonnois","2320",1
525,"2112","Brancourt-le-Grand","2110",1
526,"2114","Brasles","2400",1
527,"2115","Braye-en-Laonnois","2000",1
528,"2116","Braye-en-Thiérache","2140",1
529,"2117","Bray-Saint-Christophe","2480",1
530,"2118","Braye","2880",1
531,"2119","Brécy","2210",1
532,"2120","Brenelle","2220",1
533,"2121","Breny","2210",1
534,"2122","Brie","2870",1
535,"2123","Brissay-Choigny","2240",1
536,"2124","Brissy-Hamégicourt","2240",1
537,"2125","Brumetz","2810",1
538,"2126","Brunehamel","2360",1
539,"2127","Bruyères-sur-Fère","2130",1
540,"2128","Bruyères-et-Montbérault","2860",1
541,"2129","Bruys","2220",1
542,"2130","Bucilly","2500",1
543,"2131","Bucy-le-Long","2880",1
544,"2132","Bucy-lès-Cerny","2870",1
545,"2133","Bucy-lès-Pierrepont","2350",1
546,"2134","Buire","2500",1
547,"2135","Buironfosse","2620",1
548,"2136","Burelles","2140",1
549,"2137","Bussiares","2810",1
550,"2138","Buzancy","2200",1
551,"2139","Caillouël-Crépigny","2300",1
552,"2140","Camelin","2300",1
553,"2141","La Capelle","2260",1
554,"2142","Castres","2680",1
555,"2143","Le Catelet","2420",1
556,"2144","Caulaincourt","2490",1
557,"2145","Caumont","2300",1
558,"2146","Celles-lès-Condé","2330",1
559,"2148","Celles-sur-Aisne","2370",1
560,"2149","Cerizy","2240",1
